model,forecast_date,horizon,reference_date,location,source,y_true,median,wis,mae,cov_50,cov_95
arima_stat,2023-11-04,1,2023-11-04,US,flusight,2010.0,1664.39536491442,311.2303280329226,345.60463508558,True,True
arima_stat,2023-11-04,2,2023-11-11,US,flusight,2776.0,1679.9954110444166,660.2408961219388,1096.0045889555834,True,True
arima_stat,2023-11-04,3,2023-11-18,US,flusight,3493.0,1684.6402212342432,955.343373575038,1808.3597787657568,True,True
arima_stat,2023-11-04,4,2023-11-25,US,flusight,4381.0,1686.018076998202,1303.008731049006,2694.9819230017984,True,True
arima_stat,2023-11-11,1,2023-11-11,US,flusight,2776.0,2274.117034860519,348.7135757398932,501.8829651394808,True,True
arima_stat,2023-11-11,2,2023-11-18,US,flusight,3493.0,2361.032756927951,702.1438077170225,1131.9672430720489,True,True
arima_stat,2023-11-11,3,2023-11-25,US,flusight,4381.0,2387.4078540686064,1068.5835118075902,1993.5921459313936,True,True
arima_stat,2023-11-11,4,2023-12-02,US,flusight,5948.0,2395.2986054667435,1746.27514451837,3552.7013945332565,False,True
arima_stat,2023-11-18,1,2023-11-18,US,flusight,3493.0,3224.3476243439795,304.2850121621253,268.65237565602047,True,True
arima_stat,2023-11-18,2,2023-11-25,US,flusight,4381.0,3370.741136210828,686.0184547900336,1010.2588637891722,True,True
arima_stat,2023-11-18,3,2023-12-02,US,flusight,5948.0,3415.3159797922835,1326.5990388482237,2532.6840202077165,False,True
arima_stat,2023-11-18,4,2023-12-09,US,flusight,7474.0,3428.727707330266,2061.612344191849,4045.272292669733,False,True
arima_stat,2023-11-25,1,2023-11-25,US,flusight,4381.0,3833.389039872924,360.8778533163663,547.6109601270759,True,True
arima_stat,2023-11-25,2,2023-12-02,US,flusight,5948.0,3942.761455443289,1064.4172226591463,2005.2385445567115,False,True
arima_stat,2023-11-25,3,2023-12-09,US,flusight,7474.0,3976.122743162235,1835.9295276938517,3497.877256837765,False,True
arima_stat,2023-11-25,4,2023-12-16,US,flusight,10286.0,3986.208939163193,3533.973662922941,6299.791060836807,False,True
arima_stat,2023-12-02,1,2023-12-02,US,flusight,5948.0,4886.650739630742,563.4483597356184,1061.3492603692584,False,True
arima_stat,2023-12-02,2,2023-12-09,US,flusight,7474.0,5053.906121423139,1285.8164115498032,2420.093878576861,False,True
arima_stat,2023-12-02,3,2023-12-16,US,flusight,10286.0,5106.278017592912,2959.602859802238,5179.721982407088,False,True
arima_stat,2023-12-02,4,2023-12-23,US,flusight,15727.0,5122.552704623968,7160.652157655141,10604.447295376032,False,False
arima_stat,2023-12-09,1,2023-12-09,US,flusight,7474.0,6887.210796127998,371.44144743389495,586.789203872002,True,True
arima_stat,2023-12-09,2,2023-12-16,US,flusight,10286.0,7205.099753577779,1691.9763161154872,3080.900246422221,False,True
arima_stat,2023-12-09,3,2023-12-23,US,flusight,15727.0,7308.810292663251,5670.769889706921,8418.189707336749,False,False
arima_stat,2023-12-09,4,2023-12-30,US,flusight,21684.0,7342.5366332935,10912.742724916228,14341.4633667065,False,False
arima_stat,2023-12-16,1,2023-12-16,US,flusight,10286.0,8222.764653937762,1220.696700561834,2063.235346062238,False,True
arima_stat,2023-12-16,2,2023-12-23,US,flusight,15727.0,8478.008639340054,5292.132075584348,7248.991360659946,False,False
arima_stat,2023-12-16,3,2023-12-30,US,flusight,21684.0,8563.159182564676,10364.345642770391,13120.840817435324,False,False
arima_stat,2023-12-16,4,2024-01-06,US,flusight,19540.0,8591.521445319711,7526.141310799376,10948.478554680289,False,False
arima_stat,2023-12-23,1,2023-12-23,US,flusight,15727.0,12077.031006121824,2663.1623544060767,3649.968993878176,False,False
arima_stat,2023-12-23,2,2023-12-30,US,flusight,21684.0,12741.352833174842,6965.181270367053,8942.647166825158,False,False
arima_stat,2023-12-23,3,2024-01-06,US,flusight,19540.0,12993.002484911602,4003.3907291008654,6546.997515088398,False,True
arima_stat,2023-12-23,4,2024-01-13,US,flusight,15919.0,13088.230049391022,1578.8994680005644,2830.769950608977,True,True
arima_stat,2023-12-30,1,2023-12-30,US,flusight,21684.0,19291.190425768185,1466.322640508272,2392.8095742318146,False,True
arima_stat,2023-12-30,2,2024-01-06,US,flusight,19540.0,20800.75334471874,790.8326585192995,1260.7533447187416,True,True
arima_stat,2023-12-30,3,2024-01-13,US,flusight,15919.0,21482.67447176924,3185.427964738575,5563.674471769242,False,True
